date,1. open,2. high,3. low,4. close,5. volume,SMA,RSI,OBV,Real Upper Band,Real Middle Band,Real Lower Band,sentiment,relevance
2000-09-01,,,,,,0.8217,75.8223,10266395056.0,0.9483,0.7885,0.6287,,
2000-09-05,,,,,,0.8386,71.9004,9967752358.0,0.9681,0.7994,0.6306,,
2000-09-06,,,,,,0.8492,58.7991,9612348003.0,0.9737,0.8081,0.6426,,
2000-09-07,,,,,,0.8605,64.9248,9829813020.0,0.9865,0.819,0.6515,,
2000-09-08,,,,,,0.8701,56.9353,9634294425.0,0.9898,0.8275,0.6652,,
2000-09-11,,,,,,0.8786,55.8907,9446912638.0,0.9906,0.8356,0.6805,,
2000-09-12,,,,,,0.8851,54.2111,9258914851.0,0.9871,0.8436,0.7001,,
2000-09-13,,,,,,0.889,54.7418,9564899156.0,0.9798,0.8521,0.7243,,
2000-09-14,,,,,,0.8898,51.7938,9138346730.0,0.9726,0.8583,0.7441,,
2000-09-15,,,,,,0.8881,47.8278,8743831936.0,0.9693,0.8612,0.753,,
2000-09-18,,,,,,0.8909,59.0712,9168368360.0,0.9662,0.8692,0.7721,,
2000-09-19,,,,,,0.8917,57.3077,8896857689.0,0.9593,0.8762,0.7932,,
2000-09-20,,,,,,0.8934,59.3239,9124245916.0,0.9537,0.8833,0.8128,,
2000-09-21,,,,,,0.8888,49.4461,8613755006.0,0.95,0.885,0.8201,,
2000-09-22,,,,,,0.8768,41.7241,7887053480.0,0.9589,0.8821,0.8053,,
2000-09-25,,,,,,0.8672,44.4441,8322605115.0,0.9631,0.8796,0.7961,,
2000-09-26,,,,,,0.8597,41.1885,8031668025.0,0.9706,0.8747,0.7787,,
2000-09-27,,,,,,0.8457,37.5898,7629408423.0,0.9805,0.867,0.7534,,
2000-09-28,,,,,,0.8399,46.7319,8608995002.0,0.9788,0.8625,0.7462,,
2000-09-29,,,,,,0.8049,23.8427,1187346781.0,1.0719,0.8361,0.6003,,
2000-10-02,,,,,,0.769,23.1817,-1237444443.0,1.1135,0.8067,0.4999,,
2000-10-03,,,,,,0.7308,22.3199,-3275566481.0,1.1396,0.7766,0.4137,,
2000-10-04,,,,,,0.6952,24.3647,-1809541015.0,1.1539,0.7505,0.3471,,
2000-10-05,,,,,,0.6597,23.569,-2682548288.0,1.1541,0.7206,0.2871,,
2000-10-06,,,,,,0.6185,23.7924,-2069890876.0,1.151,0.6931,0.2351,,
2000-10-09,,,,,,0.5776,23.5416,-2667456273.0,1.1419,0.6655,0.1892,,
2000-10-10,,,,,,0.5345,23.0191,-3358558564.0,1.1285,0.6379,0.1473,,
2000-10-11,,,,,,0.4948,22.2633,-4556982162.0,1.1094,0.6091,0.1089,,
2000-10-12,,,,,,0.4604,23.0901,-3365916971.0,1.0859,0.5815,0.0771,,
2000-10-13,,,,,,0.4267,27.5864,-2118162924.0,1.059,0.5566,0.0543,,
2000-10-16,,,,,,0.3946,27.1222,-2938339744.0,1.012,0.5273,0.0425,,
2000-10-17,,,,,,0.3637,25.9628,-3540060345.0,0.96,0.4974,0.0348,,
2000-10-18,,,,,,0.328,25.9628,-3540060345.0,0.8944,0.4667,0.039,,
2000-10-19,,,,,,0.3207,24.9069,-5046786651.0,0.8346,0.4384,0.0422,,
2000-10-20,,,,,,0.3156,26.4359,-4255522660.0,0.7815,0.4139,0.0463,,
2000-10-23,,,,,,0.3135,28.8595,-3704230109.0,0.7129,0.3891,0.0652,,
2000-10-24,,,,,,0.3084,27.1959,-4508682113.0,0.6394,0.3646,0.0899,,
2000-10-25,,,,,,0.3046,26.7857,-5172652376.0,0.5602,0.3418,0.1235,,
2000-10-26,,,,,,0.3007,26.7857,-5172652376.0,0.3735,0.3156,0.2577,,
2000-10-27,,,,,,0.2973,26.9928,-4428148432.0,0.3604,0.3102,0.26,,
2000-10-30,,,,,,0.2956,29.6705,-3788958193.0,0.3509,0.3065,0.262,,
2000-10-31,,,,,,0.2955,30.5845,-2903076508.0,0.3473,0.3044,0.2616,,
2000-11-01,,,,,,0.2961,34.0546,-2327709533.0,0.3384,0.3021,0.2657,,
2000-11-02,,,,,,0.2963,40.2486,-1737015343.0,0.3392,0.3023,0.2653,,
2000-11-03,,,,,,0.2971,40.1141,-2252837458.0,0.3394,0.3023,0.2652,,
2000-11-06,,,,,,0.2985,38.2554,-2646316251.0,0.3387,0.3021,0.2655,,
2000-11-07,,,,,,0.2998,37.9515,-2948279752.0,0.3395,0.3024,0.2653,,
2000-11-08,,,,,,0.301,35.0666,-3370368974.0,0.3396,0.3027,0.2658,,
2000-11-09,,,,,,0.3018,35.6148,-2893534098.0,0.3398,0.3029,0.266,,
2000-11-10,,,,,,0.3004,33.0065,-3315785720.0,0.3359,0.3006,0.2654,,
2000-11-13,,,,,,0.3009,34.4253,-2883969289.0,0.3331,0.299,0.265,,
2000-11-14,,,,,,0.3028,38.4127,-2474967280.0,0.3332,0.2991,0.2651,,
2000-11-15,,,,,,0.3042,37.3564,-2757325162.0,0.333,0.2989,0.2649,,
2000-11-16,,,,,,0.3047,34.9843,-2996697401.0,0.333,0.299,0.265,,
2000-11-17,,,,,,0.3038,33.6614,-3442877847.0,0.3334,0.2982,0.2631,,
2000-11-20,,,,,,0.3032,35.9565,-3034811039.0,0.3327,0.2972,0.2616,,
2000-11-21,,,,,,0.3014,35.565,-3336763340.0,0.3327,0.2971,0.2615,,
2000-11-22,,,,,,0.2973,34.5976,-3617295620.0,0.3327,0.2971,0.2615,,
2000-11-24,,,,,,0.2941,39.2476,-3456362660.0,0.3324,0.2977,0.2631,,
2000-11-27,,,,,,0.2912,37.0747,-3715155718.0,0.3323,0.2978,0.2634,,
2000-11-28,,,,,,0.2877,34.8621,-3984280787.0,0.3332,0.2969,0.2606,,
2000-11-29,,,,,,0.285,33.3364,-4476431679.0,0.3345,0.2954,0.2562,,
2000-11-30,,,,,,0.281,30.1333,-5286030088.0,0.3363,0.2924,0.2485,,
2000-12-01,,,,,,0.2789,33.7547,-4900324103.0,0.3306,0.2884,0.2463,,
2000-12-04,,,,,,0.276,32.5541,-5271845274.0,0.3241,0.2843,0.2444,,
2000-12-05,,,,,,0.2725,34.6513,-4657866261.0,0.3189,0.2809,0.243,,
2000-12-06,,,,,,0.2666,26.8493,-6032331635.0,0.3194,0.2757,0.232,,
2000-12-07,,,,,,0.2616,26.8493,-6032331635.0,0.321,0.2714,0.2218,,
2000-12-08,,,,,,0.2579,31.8137,-5596707200.0,0.3187,0.2675,0.2164,,
2000-12-11,,,,,,0.2539,32.6666,-5264195668.0,0.3179,0.2646,0.2114,,
2000-12-12,,,,,,0.2502,33.9668,-4877935282.0,0.3154,0.2616,0.2078,,
2000-12-13,,,,,,0.2464,32.6106,-5222822826.0,0.3101,0.2577,0.2053,,
2000-12-14,,,,,,0.2412,30.6672,-5486140689.0,0.3056,0.2536,0.2017,,
2000-12-15,,,,,,0.2363,29.3874,-6000086802.0,0.303,0.2499,0.1969,,
2000-12-18,,,,,,0.2322,30.9393,-5674278477.0,0.3005,0.2467,0.193,,
2000-12-19,,,,,,0.2284,30.0049,-6048286051.0,0.2962,0.243,0.1899,,
2000-12-20,,,,,,0.2261,33.3022,-5482954286.0,0.2909,0.2397,0.1885,,
2000-12-21,,,,,,0.2229,31.9378,-5849799452.0,0.286,0.2364,0.1868,,
2000-12-22,,,,,,0.2211,39.7471,-5531747134.0,0.2765,0.2332,0.1898,,
2000-12-26,,,,,,0.2186,38.1908,-5748562550.0,0.268,0.2302,0.1923,,
2000-12-27,,,,,,0.2192,39.1835,-5423095825.0,0.2609,0.2277,0.1945,,
2000-12-28,,,,,,0.2197,39.1835,-5423095825.0,0.2546,0.2257,0.1967,,
2000-12-29,,,,,,0.2195,39.8372,-4792759195.0,0.2516,0.2245,0.1973,,
2001-01-02,,,,,,0.2192,39.8372,-4792759195.0,0.2459,0.2228,0.1998,,
2001-01-03,,,,,,0.2202,52.4532,-3975684778.0,0.2446,0.2226,0.2006,,
2001-01-04,,,,,,0.2225,56.9548,-3236288039.0,0.2449,0.2226,0.2004,,
2001-01-05,,,,,,0.2245,51.685,-3648644451.0,0.2482,0.2242,0.2002,,
2001-01-08,,,,,,0.2272,52.9753,-3274944878.0,0.2516,0.2259,0.2001,,
2001-01-09,,,,,,0.2303,57.0692,-2686014690.0,0.2567,0.2275,0.1982,,
2001-01-10,,,,,,0.2331,52.1773,-3266796870.0,0.2591,0.2285,0.1978,,
